Orthogroup	A_vesiculosa.proteins	P_amilis.proteins
OG0000118	Av_00022902-RA, Av_00012860-RA, Av_00001648-RA, Av_00009432-RA	FUN_008995-T1, FUN_013730-T1, FUN_013730-T2
OG0000118	Av_00007265-RA	FUN_051972-T1
OG0000120	Av_00014461-RA, Av_00022346-RA	FUN_004771-T1, FUN_032956-T1
OG0000120	Av_00021880-RA	FUN_004748-T1
OG0000120	Av_00010880-RA	FUN_049140-T1, FUN_037205-T1
OG0000120	Av_00020803-RA	FUN_040842-T1
OG0000121	Av_00001370-RA	FUN_022170-T1, FUN_042012-T1
OG0000121	Av_00015288-RA	FUN_009612-T1
OG0000121	Av_00013289-RA	FUN_049916-T1
OG0000121	Av_00012522-RA	FUN_008752-T5, FUN_008752-T1, FUN_008752-T2, FUN_008753-T1, FUN_008752-T4, FUN_039944-T1
OG0000122	Av_00014604-RA	FUN_027205-T1
OG0000124	Av_00010170-RA	FUN_012683-T1
OG0000125	Av_00006820-RA	FUN_042787-T2, FUN_042787-T1, FUN_042787-T3
OG0000125	Av_00016779-RA	FUN_000423-T2, FUN_000423-T1, FUN_000424-T1
OG0000127	Av_00014440-RA, Av_00001249-RA	FUN_036806-T1, FUN_051586-T1
OG0000127	Av_00002562-RA, Av_00018470-RA, Av_00006317-RA	FUN_042852-T1, FUN_024673-T1, FUN_024672-T1, FUN_024676-T1
OG0000127	Av_00009246-RA, Av_00015031-RA, Av_00000921-RA, Av_00000920-RA	FUN_046971-T1, FUN_011383-T1
OG0000129	Av_00001105-RA, Av_00008320-RA, Av_00008319-RA, Av_00017954-RA, Av_00024632-RA, Av_00003603-RA	FUN_008282-T1
OG0000131	Av_00008767-RA	FUN_023918-T1, FUN_028063-T1, FUN_050388-T1, FUN_032815-T1, FUN_032816-T1, FUN_032812-T1, FUN_032814-T1, FUN_023703-T1, FUN_023694-T1, FUN_023696-T1, FUN_038830-T1, FUN_029252-T1, FUN_050387-T1, FUN_028129-T1, FUN_028106-T1, FUN_028062-T1
OG0000135	Av_00015825-RA	FUN_020155-T1
OG0000135	Av_00023049-RA	FUN_005277-T2, FUN_005277-T1
